ZCTA5CE20,P1_001N
93926,5148.0
93927,24166.0
93928,0.0
93930,12812.0
93932,0.0
93933,16519.0
93940,34604.0
93943,0.0
93944,0.0
93950,15082.0
93953,4149.0
93954,0.0
93955,35541.0
93960,25149.0
93962,0.0
94002,28647.0
94005,5474.0
94010,44017.0
94014,48909.0
94015,63489.0
94018,0.0
94019,15258.0
94020,0.0
94021,0.0
94022,22610.0
94024,26716.0
94025,39039.0
94027,7188.0
94028,6846.0
94030,23216.0
94037,6053.0
94038,0.0
94040,25891.0
94041,16723.0
94043,30931.0
94044,38675.0
94060,4299.0
94061,33800.0
94062,26053.0
94063,37262.0
94065,12781.0
94066,44177.0
94070,32595.0
94074,0.0
94080,65724.0
94085,25457.0
94086,51025.0
94087,57783.0
94089,23247.0
94102,39036.0
94103,44677.0
94104,1905.0
94105,15632.0
94107,30593.0
94108,15554.0
94109,52048.0
94110,65223.0
94111,5242.0
94112,81228.0
94114,35395.0
94115,40319.0
94116,40158.0
94117,31255.0
94118,49248.0
94121,38608.0
94122,60011.0
94123,25116.0
94124,38053.0
94127,21807.0
94128,0.0
94129,3690.0
94130,2747.0
94131,31220.0
94132,25380.0
94133,26233.0
94134,44977.0
94158,8610.0
94188,0.0
94301,16333.0
94303,45288.0
94304,3481.0
94305,27783.0
94306,25683.0
94401,30706.0
94402,29553.0
94403,45936.0
94404,37323.0
94501,64116.0
94502,14164.0
94503,19751.0
94505,7171.0
94506,14633.0
94507,0.0
94508,4984.0
94509,65498.0
94510,23901.0
94511,5514.0
94512,4637.0
94513,71106.0
94514,1293.0
94515,5228.0
94516,2559.0
94517,8550.0
94518,29108.0
94519,20643.0
94520,38756.0
94521,43492.0
94523,35547.0
94525,6237.0
94526,27971.0
94528,4077.0
94530,26408.0
94531,48863.0
94533,74722.0
94534,39792.0
94535,4111.0
94536,69248.0
94538,72174.0
94539,49846.0
94541,62331.0
94542,14249.0
94544,77151.0
94545,34195.0
94546,40762.0
94547,22858.0
94548,0.0
94549,32460.0
94550,53631.0
94551,51467.0
94552,27159.0
94553,51209.0
94555,31473.0
94556,15334.0
94558,71761.0
94559,29855.0
94560,55292.0
94561,36560.0
94562,0.0
94563,17724.0
94564,16895.0
94565,95375.0
94566,45589.0
94567,1138.0
94568,63397.0
94569,3202.0
94571,8510.0
94572,3908.0
94573,0.0
94574,7133.0
94575,0.0
94576,0.0
94577,43675.0
94578,46080.0
94579,24956.0
94580,34744.0
94582,47625.0
