ZIPCode,P1_001N
95212,23684
95226,0
95227,3744
96033,0
96040,0
96059,0
95350,56632
95240,51551
96073,4910
95367,22478
95111,58491
95864,26092
93526,0
93529,0
95113,0
95118,31553
95121,0
95122,0
95307,49428
95125,51752
95126,33128
95313,0
95316,8933
95319,0
95328,0
95127,63274
95128,32047
95129,40061
95010,12188
95012,14506
95019,0
95030,9875
95039,9810
95050,46369
95051,59635
95054,23420
95065,13418
95910,0
95934,2564
95937,0
95688,41539
95689,0
95066,8681
95073,12065
95948,11697
95951,3189
95110,29090
95970,0
95975,0
95982,0
95693,6603
95695,36008
95698,4052
95701,0
92315,4986
95961,30866
95962,0
95714,0
95715,2833
95721,0
95993,39335
95722,4462
95728,1529
95742,15424
92093,14126
94903,30567
95746,23365
94923,1665
95747,66660
95762,42487
94929,0
94930,8409
95914,0
95811,10525
95816,18383
95820,34135
94937,1824
95925,3187
95926,34645
95824,31231
95825,28136
94946,0
94949,18726
94951,9147
95930,0
95932,7835
95828,60298
95829,28292
94954,38765
95841,17823
94960,15352
94965,10585
94971,0
94973,0
95003,26237
95005,5019
95006,11418
95602,20996
95606,0
91406,58341
95486,0
95492,15384
95497,787
95501,24243
95511,0
91405,0
95519,16687
95524,5149
95537,0
95547,0
95554,3822
95565,4724
95567,0
95569,0
95571,0
95385,0
95388,14986
95401,39850
95403,46967
95405,21433
95407,42122
95409,21196
95417,0
95439,0
95420,0
95426,1536
95442,0
95446,5556
95452,0
95456,0
95465,2093
96092,3820
95467,3605
96106,0
96109,0
96113,3293
96119,0
96121,0
96128,0
96132,1627
96133,0
96135,0
95253,0
96140,1319
96146,0
95376,53678
95380,47027
91741,29184
90255,70097
91744,74293
92374,53775
92377,14720
92378,0
90262,66063
92253,33315
92382,3943
92385,0
92391,1118
92394,44178
92395,47333
92398,0
92404,71079
91732,51394
90248,10901
90249,27590
91739,41937
91740,22216
90230,33658
92254,8400
91606,36163
90245,17272
92234,47027
92236,44234
92240,43547
91709,69347
92252,7925
92243,60876
92249,3549
90212,11862
90220,53258
91722,38678
91502,16942
92251,15798
93313,61460
91801,48524
90504,34009
91901,18632
91902,28104
93250,20270
90601,32029
90602,24068
91775,24337
92869,27447
92879,44070
93263,22998
90605,36273
93267,7643
93270,0
93276,0
93003,43072
93280,27175
93012,40247
93013,17908
93286,8158
93291,63621
93301,14517
93305,38531
90275,44149
92410,51584
91766,76254
90277,35689
92501,18728
90278,40874
92503,101174
92504,0
92823,0
91745,53804
92835,30085
92840,51590
92844,26224
92845,20204
92860,28109
92508,37435
91746,37119
92532,30853
92831,48058
92832,21727
92833,56091
91748,45426
92536,0
92861,6154
92867,44606
92539,0
92543,33840
90305,15367
91780,31273
92808,9291
90403,24401
91752,35249
91770,57773
92557,49561
90501,43806
90274,23619
91762,0
91764,44097
93225,0
93428,8329
93432,5566
93434,6078
93441,0
90731,62810
92009,42832
93442,10981
90740,23014
93512,0
93522,0
93530,0
91914,7941
92595,35391
92019,34648
90660,63398
93463,6633
93108,5980
93111,15153
92021,66869
90712,33215
93204,13735
93205,0
93230,68059
93206,4831
92025,46099
93239,0
93245,31242
93247,17729
93212,22939
93405,26972
93410,7459
93219,10151
90717,20921
93220,0
93221,16734
93424,0
90630,44107
92571,63110
92584,38281
92587,20320
92590,15152
92596,53967
91978,15244
92602,45336
92606,22460
92610,5069
92612,25719
91905,2613
92620,68517
92626,47578
92007,9368
92637,26473
93063,51603
93064,6264
92646,58123
92651,26546
93041,0
93042,1430
92657,7333
90670,21667
93067,0
93202,5572
91910,79113
90703,49578
90704,0
91911,84068
90710,28790
91931,0
91934,0
92586,20629
92060,0
91040,22684
91042,26428
92061,3072
91101,19018
92078,44636
92276,8482
90006,48962
92083,0
92280,0
92281,0
90803,32918
92660,54084
91007,37285
90813,52860
91010,23376
92066,0
92056,67248
92067,18842
91016,40113
92673,31140
90804,38163
92675,39001
90808,40225
90810,45265
92027,60902
92691,43648
92028,47431
92694,36452
92701,44380
92704,83700
90805,93505
92029,21585
92780,68115
92037,35769
92805,53033
92807,38579
90802,42608
92124,26960
90037,63820
90043,49986
92126,66766
90044,113986
90040,8024
90041,27861
92128,53915
92129,0
92103,34498
90011,90907
90018,51341
91106,25198
92145,8035
91324,31785
91214,32259
92132,0
92135,0
91301,32050
91326,39076
91302,26773
91331,97017
91340,43886
92113,48094
91306,44168
92117,50847
90036,35175
92119,21576
92120,33922
92121,6717
92107,27105
90019,60707
92108,19616
90024,38797
92305,2109
92111,45843
90033,46899
92339,0
91105,11283
92342,6320
92316,37496
92320,18391
92344,21427
91201,22371
90025,46667
92347,1575
91206,33206
92352,7998
92102,41952
90014,5792
90015,28220
92358,1856
90016,41478
92105,64627
91401,42467
92123,35167
90034,64239
90042,54606
92555,41898
92567,19818
90065,44678
91343,66194
90201,95773
91381,20968
92389,0
92397,4761
92603,17848
92405,39721
95776,34257
90039,25666
90247,47770
91350,28695
92227,29622
92230,0
90045,39150
92231,34285
91352,44051
90095,13527
91362,34697
91355,46795
90047,40055
91367,38170
90048,22941
90094,10520
90056,6907
91361,13481
90059,42889
92211,21345
90063,52938
92220,30534
91344,52165
90022,56120
91915,33218
95946,12916
93036,46803
95231,5968
95258,4973
92131,34818
95920,0
90058,9351
90062,31082
94304,3481
92333,0
90241,0
94108,15554
95018,7887
93618,31884
95382,34185
90232,14901
91204,15705
93222,0
94541,62331
95355,58680
92335,97619
95638,2443
95757,55152
95334,17134
90066,57365
90290,6494
91403,20638
93307,93336
90029,31158
95366,18295
94565,95375
94605,45375
94705,14776
92624,5617
94801,34223
94805,11909
94904,12007
95833,42287
95838,36810
95008,51073
95013,0
95035,78813
95950,0
91790,41872
93215,50878
91913,55105
93723,13345
93932,0
93953,4149
94010,44017
94102,39036
94116,40158
91504,25403
92678,972
94301,16333
95673,12982
95682,29557
93292,0
90638,48008
90640,64530
93609,5393
92656,49781
90402,10690
93620,10171
93627,0
92629,18731
91773,0
91776,37479
92883,33555
93033,72250
92109,46384
92110,26235
90240,25372
90242,42482
91711,38352
90028,38614
95939,2202
92260,33573
92262,32566
92264,14738
92268,0
93449,4567
95562,0
92308,37292
92313,15340
90263,0
90005,0
90007,44283
92321,0
92325,6849
90017,30711
90008,33657
91011,20573
91107,25965
91205,39478
91207,6571
95977,0
96002,36682
95215,22036
95225,5691
95228,5004
95254,0
95301,46401
96038,0
96063,0
96074,0
95360,12826
96126,0
92075,11575
92278,0
93452,0
93519,0
96141,1547
93531,0
92365,0
95464,0
95468,4436
95471,0
91601,38048
91602,25546
93528,0
96155,0
92059,0
95827,20034
92014,13540
91208,16943
92627,62267
91384,24233
95819,18836
94110,65223
94619,24176
93950,15082
92683,85433
95320,13713
90221,49741
90291,28620
94002,28647
91786,50493
94134,44977
92058,22047
93433,12643
95614,0
95323,4990
96068,0
95560,0
95412,0
93562,0
94940,0
90746,23867
92304,0
95357,26649
93706,40071
94132,25380
95014,64617
90061,26576
95436,2213
92376,85100
91436,16875
94588,0
92310,0
95658,2973
94556,15334
90603,19343
94572,3908
90606,30877
93705,33042
94015,63489
92203,26832
90035,30875
95422,12201
91723,11936
94618,10921
94118,49248
92649,28775
91411,25029
95670,59971
95391,25018
92676,1613
95616,49132
94131,31220
94085,25457
94060,4299
91737,20994
90266,35506
92136,7014
92841,28256
92865,18494
91706,72719
95525,3496
95589,1638
95255,0
93420,36306
95918,3935
93450,3113
92267,0
93408,0
93255,2327
95202,7318
91962,0
91733,36738
90280,94845
92368,0
92392,57464
91759,0
92530,58424
92563,62742
90303,23678
95493,0
95536,0
95587,0
93702,37391
93720,45999
92346,45470
94022,22610
94040,25891
90032,43833
94087,57783
94114,35395
94123,25116
94508,4984
90503,46361
93440,2813
94515,5228
91356,29657
95070,0
91316,30645
94535,4111
94579,24956
93065,67576
94925,5799
90744,51491
90046,53371
94595,21266
94901,43466
93268,15619
95735,0
95822,41682
93309,62289
92036,5351
95834,33717
94924,0
94956,0
95004,0
90250,101284
93010,41221
92127,45832
95619,2703
95915,0
92692,54437
92706,29461
92282,1304
95653,0
95681,0
95957,1388
95969,5126
92585,26867
92592,78374
95124,42383
95251,0
91377,8077
96016,0
96037,0
96067,1698
92057,57157
92327,0
95337,42896
93670,0
93103,22395
93552,42787
93601,0
95368,3743
96090,0
96110,0
92614,30413
